"","Domain","Mean_MSE","Head_Count_MSE","Mean","BM_Head_Count","Mean_CV","Head_Count_CV"
"112","400304",0.181904752852228,0.0256838206737493,-0.164689142109396,0.383764013745705,-2.58974531473797,0.417604881650917
"113","400305",0.0416491336181596,0.00718236145189157,-0.259351530427265,0.364434975321885,-0.786890261855554,0.232548519231208
"114","400306",0.0187967447903757,0.00369996323413562,-0.633351737931718,0.518588164082939,-0.21646932147648,0.117294082861019
"115","400307",0.0395557021158378,0.0067081309169768,0.342268569463015,0.157775071482697,0.581082142504141,0.519113566990614
"116","400308",0.174748366139914,0.0234222823573429,-0.0253194707584991,0.325656614785992,-16.5101849510019,0.469953298328135
"117","400309",0.0250661129388555,0.00419843417750392,-0.295754509799991,0.377161838929242,-0.535318337315945,0.171797140079275
"118","400310",0.202388015577558,0.0294866011722683,-0.0219527441062453,0.324659524402839,-20.4929075599649,0.528912961242763
"119","400311",0.012473839837779,0.00173779471613746,0.0852544095238769,0.232736294258828,1.31003600191527,0.179116304846443
"120","400312",0.0477431193889467,0.00901181971118866,-0.0857570194160665,0.295299157830073,-2.54791958637496,0.32147265644318
"121","400401",0.0507823573568717,0.00820166351467522,0.0506790637509798,0.245410350374889,4.44659776697323,0.36902696239357
"122","400402",0.0272359815582794,0.00430653286503725,-0.0734211093616836,0.289348492905256,-2.24776328673142,0.22679979531832
"123","400403",0.175745381248595,0.0246969367906368,-0.0985500897476476,0.348490024779737,-4.25387707601519,0.450952910015033
"124","400404",0.15595410823523,0.024388078567337,-0.132373534412746,0.363107594936709,-2.98330217702008,0.430084171902598
"125","400405",0.042897925599991,0.00702570260791036,-0.299673580097543,0.381276797639711,-0.691145826052856,0.219838880552609
"126","400406",0.021364332760874,0.00355432336732896,0.279580173063392,0.170965427881351,0.522803272599333,0.348714632139926
"127","400407",0.193563941520934,0.0273456625687529,-0.004738123421762,0.314926435690555,-92.8551207692832,0.525091644155364
"128","400408",0.037796976970407,0.00166867244558246,1.05639936155304,0.0916074042485469,0.184034990439371,0.445917965576284
"129","400409",0.0458449088074587,0.00761778987939225,0.00210379141557525,0.264094918843054,101.775414062289,0.330487052043363
"130","400410",0.180769130314877,0.0246190735440141,-0.123419159986682,0.362928598697008,-3.44492322998666,0.43232929130651
"131","400411",0.0492842286991668,0.00869862885016095,0.199313498039627,0.202059826518467,1.11382579339147,0.461578343966815
"132","400412",0.217311378187384,0.0274462445955069,-0.0368318823664208,0.329496074028781,-12.6566076733373,0.502795312752161
"133","400501",0.0470499482905112,0.00722091838240931,0.213451333392089,0.192389786525162,1.01620353919601,0.441686581328818
"134","400502",0.0338440645614209,0.00550963804887032,0.466437518455478,0.122531956806528,0.394409876146316,0.6057761426118
"135","400503",0.0487533067409177,0.00819691277812887,-0.0809907764482758,0.294589211103467,-2.72625500714675,0.307332380253736
"136","400504",0.0366304389985191,0.00544101094181521,0.144385357137007,0.21703394720888,1.32555548260249,0.339869451488157
"137","400505",0.0146314508126969,0.00207014817055104,0.600671674817121,0.0919886803933628,0.201375458812801,0.494613911045829
"138","400506",0.169704736583609,0.0262809264657842,-0.155698445963014,0.372984734339862,-2.6458346768914,0.434639585982261
"139","400507",0.0567631314625446,0.00924430222335129,-0.346738811606524,0.399670674564363,-0.687117036663295,0.240566297539688
