latitude,longitude,rwi,error
13.0366691,15.7653809,0.344,0.355
8.7222181,17.2595215,-0.150,0.356
14.4240402,14.1174316,-0.619,0.350
8.3962996,16.6003418,-0.088,0.352
8.7873681,16.7980957,-0.554,0.354
13.3361750,20.6652832,-0.652,0.331
14.2963234,22.0715332,-0.514,0.326
15.5489602,22.3352051,-0.679,0.308
13.3361750,18.0944824,-0.430,0.353
13.8914108,15.1721191,-0.756,0.356
13.9553920,22.0056152,-0.565,0.329
11.3831090,17.5891113,-0.596,0.360
12.4794869,22.3132324,-0.845,0.339
14.8492310,21.6540527,-0.322,0.327
12.4151184,15.4357910,-0.531,0.351
10.6066195,20.7531738,-0.608,0.337
9.7198857,17.5012207,-0.731,0.357
8.7222181,17.4792480,-0.347,0.363
13.0794780,14.9523926,-0.337,0.345
9.7631974,15.9851074,-0.604,0.351
12.0930384,16.1169434,-0.594,0.341
11.7490585,21.3024902,-0.651,0.340
9.3081485,16.0949707,-0.658,0.353
13.8487469,13.7878418,-0.302,0.345
17.1722825,21.3684082,-0.035,0.313
12.8653594,21.1047363,-0.210,0.345
12.6510579,21.8298340,-0.176,0.342
9.1997151,18.2263184,-1.179,0.361
14.1046123,21.8298340,-0.398,0.337
12.7368003,16.1608887,-0.773,0.357
14.5516838,21.6320801,-0.439,0.338
12.6510579,20.4016113,-0.598,0.342
14.0406726,21.8078613,-0.403,0.331
13.3789314,22.2692871,-1.014,0.333
13.3361750,18.6877441,-0.332,0.346
11.3615678,20.6433105,-0.602,0.343
7.9613173,16.6442871,-0.368,0.361
10.8872536,20.1159668,-0.632,0.342
14.3176146,15.6994629,-0.052,0.355
9.1997151,18.3361816,-0.588,0.364
9.3731925,14.2712402,-0.504,0.340
9.6982277,15.6115723,-0.358,0.348
12.9724418,17.5451660,-0.420,0.353
13.7847363,20.7092285,-0.509,0.337
12.1145226,17.3254395,-0.825,0.383
9.1997151,15.8532715,-0.728,0.351
12.7796606,17.9406738,-0.280,0.358
9.1997151,17.5231934,-1.038,0.359
9.1346391,15.7873535,-0.429,0.351
