latitude,longitude,rwi,error
16.2463197,0.2746582,-0.308,0.265
14.3389038,-9.5251465,-0.550,0.283
12.3292689,-6.0095215,-0.639,0.260
15.1251586,-0.5822754,-0.513,0.252
13.9340669,-10.4919434,-0.702,0.269
13.3147939,-6.8884277,-0.808,0.279
14.4240402,-4.5593262,-0.738,0.258
13.7633955,-6.0974121,-0.315,0.308
15.4219101,-5.8996582,-0.424,0.268
11.4477230,-5.3723145,0.242,0.271
13.1008797,-9.4812012,-0.874,0.309
14.4240402,-11.3488770,-0.110,0.292
15.4007275,-0.5603027,-0.286,0.274
15.0190747,-7.9870605,-0.148,0.268
12.0500648,-4.8669434,-0.842,0.263
12.3078021,-9.5031738,-0.298,0.258
12.0930384,-7.8991699,-0.030,0.343
12.9510290,-8.8439941,-0.710,0.326
16.8571194,0.4943848,-0.861,0.264
15.4007275,-4.2077637,-0.592,0.298
14.1472288,-3.6364746,-0.354,0.276
13.4003068,-10.2062988,-0.178,0.257
10.8872536,-6.9323730,-0.785,0.257
12.0070844,-4.9548340,-0.652,0.265
13.8700799,-5.0207520,-0.576,0.259
14.1685340,-4.4055176,-0.546,0.258
15.7816814,-3.5266113,-0.759,0.270
13.3147939,-5.8117676,-0.641,0.270
11.1245072,-6.0314941,-0.434,0.269
12.2219175,-7.6354980,-0.638,0.286
14.9978516,-2.8674316,-0.992,0.269
10.2824911,-6.1193848,-0.471,0.251
15.2099875,-7.4157715,-0.458,0.294
13.0366691,-9.3273926,-0.668,0.293
14.7430107,-5.0646973,-0.655,0.258
15.0190747,-4.1638184,-0.516,0.258
15.4854449,-0.4064941,-0.876,0.266
11.9426009,-6.1853027,-0.585,0.267
12.5652867,-7.2619629,-0.457,0.276
12.0070844,-5.5261230,-0.785,0.263
13.0152618,-8.4704590,-0.865,0.264
12.8653594,-5.9875488,0.045,0.280
13.6566625,-3.8122559,-0.332,0.265
11.4477230,-5.8996582,-0.268,0.263
15.2311894,-1.5270996,-0.773,0.244
13.3361750,-8.0969238,-0.757,0.266
14.5729506,-2.3620605,-0.285,0.248
12.2863336,-5.4382324,-0.749,0.376
13.5071552,-4.4934082,-0.689,0.281
11.6199546,-7.3278809,-0.733,0.277
13.1650736,-9.2614746,-0.773,0.278
13.2720261,-6.7346191,-0.524,0.290
12.6939327,-4.5593262,-0.693,0.273
13.9980363,-4.0979004,-0.479,0.277
12.4580325,-10.2062988,-0.705,0.255
12.6081759,-5.7678223,-0.664,0.316
14.5304150,-6.5148926,-0.924,0.290
11.7275454,-8.2507324,-0.161,0.282
14.5091441,-2.5378418,-0.237,0.247
14.7217604,-3.4826660,-0.262,0.258
15.7182383,-4.2736816,-0.603,0.285
